pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,role_key,sp_indicator,rp_indicator,pitch_number_appearance,pitcher_at_bat_number,times_faced
FF,4/5/2021,93.6,0.55,5.87,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,ball,11,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,B,,,0,2,2021,0.36,1.7,-1.85,2.67,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-7.079278281,-135.9964184,-6.329937069,6.033372166,30.48736269,-9.819396896,3.15,1.55,,,,94.7,2297,7,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.46,,,,,,,,47,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,156,0,0.011,SP,1,0,93,22,3
FF,4/5/2021,94.9,-2.26,6.55,1cca9d59852837b5cc993ebcb9bfc2c9abb65f6f,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,field_out,hit_into_play,3,R,R,R,e4f86cca4cda0cb144aadefb62880127493a8a5e,735c11491af2456763592b4fd17c77848dde11dd,X,9,fly_ball,2,2,2021,-0.75,1.59,0.45,3.23,da8a78b0aba1c6f1d9092a69851a8c3ff9999bb6,,,2,5,Bot,175.71,68.5,151f1a0a4d4509711c02ef31320fa25afb343d0f,,8.778926002,-137.6844815,-6.4708311,-11.6796524,35.5009607,-10.7668528,3.49,1.6,346,93.5,26,94.3,2325,6.5,634562,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,151f1a0a4d4509711c02ef31320fa25afb343d0f,b0c52bd50d2f39a827d327d14ec0ddcde23f2b3e,73b4d0c624c772c7969d5df019766bb774bf4f9b,b7d69db25c114771689e75b02d1e5861b4a44564,bb4b4ea98775420ac9e6b12fa25d54b33af99a38,1a35380236861a3e9242fc1790692a52ca977c92,f520169b688bef43a04467c83c70597e247e2da3,e2838eb3228d23ff0a3493056be9dbf9d9715695,54.04,0.177,0.219,0,1,0,0,3,44,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,206,-0.034,-0.271,SP,1,0,93,21,3
SI,4/5/2021,90.1,-1.65,6.36,1cb63469405979b64ac3081a6d36eca4bf16160e,e6822c35620fc9837800588826173a2153b69478,field_out,hit_into_play,8,R,R,R,4425babf86abaf8a5bf60e209d22ab9b03ea0499,04e66352aa8f9c4c5f26b71bf380973ada994760,X,9,fly_ball,0,0,2021,-1.13,1.16,-0.02,2.12,,,,2,6,Bot,194.08,85.72,9ce7d8a2abb80aa52ddbf3118d4a37b127b2c034,,6.446737285,-130.8664088,-6.99742134,-14.39543866,28.15815021,-17.55275481,3.55,1.63,327,95,34,89.9,2108,6.3,634588,e6822c35620fc9837800588826173a2153b69478,9ce7d8a2abb80aa52ddbf3118d4a37b127b2c034,eca3dc252aac948649a6705643262093beb26336,c1efb8c56121f7c7dc9940f9ad3a76da3ba61072,1aec22a2dc737a6a12dce27f5d88561807a87e37,19002d0d7703ce99a390e39c57d62401ef57cec6,465d7544b40a77026e92ce7fee2414f25e4ae460,3a4a2059eda2a9c1518d5404384519ea6343991f,ce8deef1e0fcf6291e046d6dd52da74fa6678fed,54.21,0.117,0.205,0,1,0,0,3,59,1,Sinker,1,13,1,13,13,1,1,13,Standard,Standard,214,0,-0.104,SP,1,0,92,22,3
SL,4/5/2021,86.5,-2.41,6.29,91ef250e37a6e9dd6860b88ffaa44d8927c2dabf,34294c5b512043e6f7ad920382ed06035f0982b8,field_out,hit_into_play,7,R,L,R,60a907084eefb120b3bf4b331add6a2da2d1e33c,f8a902b067d4344b687920f92c669bffad7b0e0e,X,8,fly_ball,3,2,2021,0.47,0.3,-0.73,2.15,81272c934b63edda7b2c6ca9f268f5a594ce5131,036bb24338d2cb9318ab0cc768eeee1d32515369,,2,5,Top,123.46,93.87,c3796f5a839deb113d14052599ae9112204bda69,,3.05209344,-126.1149592,-4.376873025,4.55084539,22.36428538,-28.35635837,3.49,1.6,263,78.3,36,87.3,2304,6.4,634601,34294c5b512043e6f7ad920382ed06035f0982b8,c3796f5a839deb113d14052599ae9112204bda69,c710046f7d22c1bb863a4733efacacdefa4d68ff,d874a540fae4dd563dae874e4bb87e6d4e17bc9d,04f9c2f30346853e09f3678562b61e8957eef0aa,5eb57ef29a7d2551535638fdbdf7cab4d5919b3c,47b3a243dc544ea84da40d689f5def544af91b45,e29d82777ff1d4d9517ce77a565d1f20ad9109ed,72eff2388181d1ad10baed69adc7fceaecd485e6,54.12,0.06,0.054,0,1,0,0,3,39,6,Slider,3,0,0,3,0,3,0,3,Standard,Standard,122,0.058,-0.477,SP,1,0,92,20,3
SL,4/5/2021,81.5,1.43,5.54,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,8b04fa5301010f7ed5a77b2a440de2e1019359f7,strikeout,swinging_strike,13,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,S,2,,2,2,2021,-0.34,-0.11,-1.01,0.92,,,47a816f9460d1e5742d9b2e7aa73e35466ab714f,2,5,Top,,,fad331a3643e0f975f041aa16e18b72a99417688,,-4.795130192,-118.5587001,-3.563911315,-2.31633447,22.56208333,-32.70078013,3.37,1.53,,,,81.1,2568,6,634551,8b04fa5301010f7ed5a77b2a440de2e1019359f7,fad331a3643e0f975f041aa16e18b72a99417688,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,50e99f6d711f91de991d3083da5e92d455604eee,52c150d7af7e27df20e41d50e3b360a82b9d9d7f,af2204da5514e67430e221c1d858a31cd0a6400e,94031e55e26ae3374eedd6291d8c2fb31b4db61f,b032c7c0874f4bf88ac83799db6e22a3671a9548,837484931d4d9194973ae70dbc31984c986adcdb,54.5,,,0,1,0,0,,44,5,Slider,0,6,6,0,6,0,6,0,Standard,Standard,302,0.003,-0.192,SP,1,0,92,26,3
FF,4/5/2021,94.4,-2.17,6.51,1cca9d59852837b5cc993ebcb9bfc2c9abb65f6f,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,,ball,14,R,R,R,e4f86cca4cda0cb144aadefb62880127493a8a5e,735c11491af2456763592b4fd17c77848dde11dd,B,,,1,2,2021,-0.77,1.69,1.19,1.42,da8a78b0aba1c6f1d9092a69851a8c3ff9999bb6,,,2,5,Bot,,,151f1a0a4d4509711c02ef31320fa25afb343d0f,,10.44745634,-136.4904678,-11.18206274,-12.13173523,34.25786362,-8.486796352,3.49,1.68,,,,93.6,2331,6.5,634562,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,151f1a0a4d4509711c02ef31320fa25afb343d0f,b0c52bd50d2f39a827d327d14ec0ddcde23f2b3e,73b4d0c624c772c7969d5df019766bb774bf4f9b,b7d69db25c114771689e75b02d1e5861b4a44564,bb4b4ea98775420ac9e6b12fa25d54b33af99a38,1a35380236861a3e9242fc1790692a52ca977c92,f520169b688bef43a04467c83c70597e247e2da3,e2838eb3228d23ff0a3493056be9dbf9d9715695,53.99,,,,,,,,44,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,211,0,0.037,SP,1,0,92,21,3
FF,4/5/2021,95.9,-1.85,5.93,514eeb6e6c17085fc1adabf03f1adca32318411f,afb9b85defc6fe5c3f48681480eff4d96ab723c7,,ball,12,R,R,R,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,B,,,0,2,2021,-0.89,1.38,1.17,3.48,,c8f1ff43c331519aab03daab36b84b55edbb3e58,,2,4,Top,,,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,,9.981888477,-139.3959402,-4.002683636,-13.75637412,28.3354034,-13.40214063,3.27,1.51,,,,96,2239,6.2,634612,afb9b85defc6fe5c3f48681480eff4d96ab723c7,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,a9b53974ac34cd7c03133051645ef424e81c3073,c3b12c33078b6ce2f0c8287913cd6871b9ba9c9c,88a241e142df6a547f9188eb81f5c2ea8f7adabb,c1efd3145c820257fae2347ff5675817cfb37bca,4f6c643961e8df8f6d76d136b13ba2674b158140,a7ab335ba29a72bc194f77b694f23bd2eea9c4da,ccbeebb83e2f368d70aca48df9d3cab30efa80cf,54.3,,,,,,,,28,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,218,0,0.027,SP,1,0,92,19,3
FF,4/5/2021,93.4,2.05,6.56,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,0f061b9439845159c394a71e55d635b10ca25656,,ball,14,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,B,,,2,0,2021,1.04,1.52,1.35,2.01,,,29df9634e71f12ec4754b370e647db4bdfedd12b,2,5,Bot,,,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,,-4.096362126,-135.6938293,-9.27469631,13.79799999,29.96863779,-11.54880963,3.54,1.67,,,,93.3,2135,6.4,634551,0f061b9439845159c394a71e55d635b10ca25656,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,80f3a94c7bf1ed6397017744dbb75ff931902e2d,121048ecdf300d2ec18b79f9632d2e0e4ecb925e,0f46bb1ed363d593af42cfddbe027922aff10780,47a816f9460d1e5742d9b2e7aa73e35466ab714f,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,bc3c71dc19d09389180e0fcbdc14205e7da08a90,09e6f8d367dd945ef1b220557afde3b68449e875,54.14,,,,,,,,48,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,146,0,0.068,SP,1,0,92,22,3
FF,4/5/2021,92.6,0.69,5.89,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,foul,2,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,S,,,0,1,2021,0.56,1.79,0.21,3.06,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-2.455080839,-134.8137657,-5.387366076,7.349185496,29.5730849,-9.354377792,3.41,1.56,216,78.1,53,93.4,2373,6.8,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.72,,,,,,,,47,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,158,0,-0.024,SP,1,0,92,22,3
SL,4/5/2021,81.7,1.49,5.56,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,8b04fa5301010f7ed5a77b2a440de2e1019359f7,,ball,13,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,B,,,1,2,2021,-0.44,0.3,-1.1,1.54,,,47a816f9460d1e5742d9b2e7aa73e35466ab714f,2,5,Top,,,fad331a3643e0f975f041aa16e18b72a99417688,,-4.965479539,-118.8780378,-3.051161434,-3.282021623,21.90679889,-28.99479025,3.29,1.57,,,,81.3,2598,5.9,634551,8b04fa5301010f7ed5a77b2a440de2e1019359f7,fad331a3643e0f975f041aa16e18b72a99417688,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,50e99f6d711f91de991d3083da5e92d455604eee,52c150d7af7e27df20e41d50e3b360a82b9d9d7f,af2204da5514e67430e221c1d858a31cd0a6400e,94031e55e26ae3374eedd6291d8c2fb31b4db61f,b032c7c0874f4bf88ac83799db6e22a3671a9548,837484931d4d9194973ae70dbc31984c986adcdb,54.55,,,,,,,,44,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,306,0,0.037,SP,1,0,91,26,3
